"","soc_uni","soc","occupation","id","new_descript","word","definition"
"1","35-2021","35-2021.00","Food Preparation Workers"," 2199","Get food ready for take-out orders. Serve food to people.",NA,NA
"2","35-2021","35-2021.00","Food Preparation Workers"," 2220","Work in a line of other workers to get food trays ready. Add food, napkins, and other items to trays.",NA,NA
"3","35-2021","35-2021.00","Food Preparation Workers","18733","Use a cash register. Take payments and give back change.",NA,NA
"4","35-3021","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food"," 2242","Take payments from people and give back change.",NA,NA
"5","35-3021","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food"," 2243","Take and record food orders. Add up bills on paper or use a machine to do so.",NA,NA
"6","35-3021","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food"," 2254","Give food to servers.",NA,NA
"7","35-3022","35-3022.00","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"," 2260","Serve food and drinks from behind a counter. Work in lunchrooms, take-out windows, and other places.",NA,NA
"8","35-3022","35-3022.00","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"," 2265","Add up money owed for food. Use cash registers or adding machines. Take payments and give back change.",NA,NA
"9","35-3022","35-3022.00","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","18742","Cook or prepare food. Follow standard rules and steps to make sandwiches, salads, and more.",NA,NA
"10","35-3031","35-3031.00","Waiters and Waitresses"," 2279","Check to see if customers are enjoying their food. Try to fix any problems.",NA,NA
"11","35-3031","35-3031.00","Waiters and Waitresses"," 2277","Take food orders. Write them down, remember them, or enter them into a computer. Bring orders to kitchen staff.",NA,NA
"12","35-3031","35-3031.00","Waiters and Waitresses"," 2278","Take food and drink orders from people.",NA,NA
"13","35-3041","35-3041.00","Food Servers, Nonrestaurant","11159","Carry food, napkins, and silverware on trays. Use carts to carry trays.",NA,NA
"14","35-3041","35-3041.00","Food Servers, Nonrestaurant","11157","Prepare food orders. Make sandwiches, salads, soups, or drinks.",NA,NA
"15","35-3041","35-3041.00","Food Servers, Nonrestaurant","11155","Keep bars and food stands filled with needed items. Refill ice, napkins, straws, and more.","refill","To fill again."
"16","35-9011","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers","11163","Use damp cloths to wipe off tables or chairs. Change dirty tablecloths.","damp","A little bit wet."
"17","35-9011","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers","11165","Scrape food off dirty dishes. Stack and carry dishes and tableware. Bring items to kitchen for cleaning.",NA,NA
"18","35-9011","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers","11176","Carry trays from food counters to tables.",NA,NA
"19","35-9021","35-9021.00","Dishwashers","11186","Wash dishes, glasses, and silverware. Wash pots and pans. Use a dishwasher or clean by hand.",NA,NA
