soc,occupation,job_zone
35-2021.00,Food Preparation Workers,1
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",1
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",1
35-3031.00,Waiters and Waitresses,1
35-3041.00,"Food Servers, Nonrestaurant",1
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,1
35-9021.00,Dishwashers,1
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1
37-3011.00,Landscaping and Groundskeeping Workers,1
39-2021.00,Nonfarm Animal Caretakers,1
39-3091.00,Amusement and Recreation Attendants,1
41-2011.00,Cashiers,1
41-2021.00,Counter and Rental Clerks,1
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1
45-4022.00,Logging Equipment Operators,1
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,1
47-5011.00,"Derrick Operators, Oil and Gas",1
47-5071.00,"Roustabouts, Oil and Gas",1
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",1
51-6011.00,Laundry and Dry-Cleaning Workers,1
53-3041.00,Taxi Drivers and Chauffeurs,1
53-7011.00,Conveyor Operators and Tenders,1
11-9051.00,Food Service Managers,2
23-2093.00,"Title Examiners, Abstractors, and Searchers",2
27-1023.00,Floral Designers,2
27-2011.00,Actors,2
27-3012.00,Public Address System and Other Announcers,2
29-2051.00,Dietetic Technicians,2
31-1011.00,Home Health Aides,2
31-1013.00,Psychiatric Aides,2
31-1014.00,Nursing Assistants,2
31-1015.00,Orderlies,2
31-2022.00,Physical Therapist Aides,2
31-9093.00,Medical Equipment Preparers,2
31-9095.00,Pharmacy Aides,2
33-3011.00,Bailiffs,2
33-3012.00,Correctional Officers and Jailers,2
33-9011.00,Animal Control Workers,2
33-9032.00,Security Guards,2
33-9091.00,Crossing Guards,2
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,2
35-2012.00,"Cooks, Institution and Cafeteria",2
35-2014.00,"Cooks, Restaurant",2
